driver,lag,transfer_entropy,rank,interpretation_tag
driver_redundant,1,0.6583649287307178,3,directional_informative
driver_mediated,1,0.6270010229450493,4,directional_informative
driver_direct,2,0.402720698881347,13,directional_informative
driver_direct,1,0.17600406866109708,15,directional_informative
driver_mediated,2,0.11647948431922384,1,directional_informative
driver_direct,3,0.07658093898898244,11,directional_informative
driver_nonlin_sq,1,0.045535365805718264,17,directional_informative
driver_direct,4,0.030104383746151875,7,directional_informative
driver_noise,1,0.02832267660917953,21,directional_informative
driver_nonlin_abs,3,0.018647360651964817,33,noise_or_weak
driver_direct,5,0.016815789927053792,8,directional_informative
driver_contemp,1,0.015235831458449312,26,noise_or_weak
